lr-Adam,step,train_loss_step,epoch,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch
0.0003981071705534973,0,,,,,,,,
,49,0.17298923432826996,0,,,,,,
,99,0.1359146237373352,0,,,,,,
,149,0.12424248456954956,0,,,,,,
,199,0.10604333877563477,0,,,,,,
,249,0.09530385583639145,0,,,,,,
,299,0.1049853265285492,0,,,,,,
,349,0.08834820985794067,0,,,,,,
,399,0.07823988050222397,0,,,,,,
,449,0.07275956124067307,0,,,,,,
,499,0.06406043469905853,0,,,,,,
,549,0.04855392500758171,0,,,,,,
,599,0.049523916095495224,0,,,,,,
,649,0.03777462616562843,0,,,,,,
,699,0.03402130678296089,0,,,,,,
,749,0.03744666278362274,0,,,,,,
,799,0.03160421550273895,0,,,,,,
,849,0.031582701951265335,0,,,,,,
,865,,0,0.03282075747847557,0.4077857434749603,0.09079581499099731,0.09192527085542679,0.33806729316711426,
,865,,0,,,,,,0.0866549164056778
0.0003981071705534973,866,,,,,,,,
,899,0.03242229297757149,1,,,,,,
,949,0.031502947211265564,1,,,,,,
,999,0.027589889243245125,1,,,,,,
,1049,0.02675691992044449,1,,,,,,
,1099,0.023392116650938988,1,,,,,,
,1149,0.027345798909664154,1,,,,,,
,1199,0.025343747809529305,1,,,,,,
,1249,0.028471356257796288,1,,,,,,
,1299,0.022649304941296577,1,,,,,,
,1349,0.023339668288826942,1,,,,,,
,1399,0.026668205857276917,1,,,,,,
,1449,0.022297939285635948,1,,,,,,
,1499,0.025604309514164925,1,,,,,,
,1549,0.0227718036621809,1,,,,,,
,1599,0.026161352172493935,1,,,,,,
,1649,0.026424752548336983,1,,,,,,
,1699,0.02822181023657322,1,,,,,,
,1731,,1,0.021453561261296272,0.26046332716941833,0.06192873790860176,0.06348011642694473,0.22962228953838348,
,1731,,1,,,,,,0.025708815082907677
0.0003981071705534973,1732,,,,,,,,
,1749,0.021334325894713402,2,,,,,,
,1799,0.027629414573311806,2,,,,,,
,1849,0.02392142452299595,2,,,,,,
,1899,0.026382720097899437,2,,,,,,
,1949,0.015147022902965546,2,,,,,,
,1999,0.03148505836725235,2,,,,,,
,2049,0.017371760681271553,2,,,,,,
,2099,0.018820807337760925,2,,,,,,
,2149,0.01465329248458147,2,,,,,,
,2199,0.014314275234937668,2,,,,,,
,2249,0.014291778206825256,2,,,,,,
,2299,0.009399519301950932,2,,,,,,
,2349,0.011385875754058361,2,,,,,,
,2399,0.010291900485754013,2,,,,,,
,2449,0.011254568584263325,2,,,,,,
,2499,0.018111232668161392,2,,,,,,
,2549,0.013224657624959946,2,,,,,,
,2597,,2,0.014097429811954498,0.16161704063415527,0.040362633764743805,0.04270438104867935,0.14852403104305267,
,2597,,2,,,,,,0.016374962404370308
0.0003981071705534973,2598,,,,,,,,
,2599,0.011141662485897541,3,,,,,,
,2649,0.00931042805314064,3,,,,,,
,2699,0.010637372732162476,3,,,,,,
,2749,0.008059577085077763,3,,,,,,
,2799,0.013737671077251434,3,,,,,,
,2849,0.0092053497210145,3,,,,,,
,2899,0.008579729124903679,3,,,,,,
,2949,0.007896044291555882,3,,,,,,
,2999,0.009241070598363876,3,,,,,,
,3049,0.007810676004737616,3,,,,,,
,3099,0.010257809422910213,3,,,,,,
,3149,0.011038879863917828,3,,,,,,
,3199,0.009511915035545826,3,,,,,,
,3249,0.008748232387006283,3,,,,,,
,3299,0.010961501859128475,3,,,,,,
,3349,0.00865168310701847,3,,,,,,
,3399,0.007901464588940144,3,,,,,,
,3449,0.009935391135513783,3,,,,,,
,3463,,3,0.013909668661653996,0.11430239677429199,0.029326802119612694,0.03250851854681969,0.1070043072104454,
,3463,,3,,,,,,0.010471967980265617
0.0003981071705534973,3464,,,,,,,,
,3499,0.01052002515643835,4,,,,,,
,3549,0.008922808803617954,4,,,,,,
,3599,0.009928517043590546,4,,,,,,
,3649,0.011690333485603333,4,,,,,,
,3699,0.009104905650019646,4,,,,,,
,3749,0.0069937072694301605,4,,,,,,
,3799,0.0069617475382983685,4,,,,,,
,3849,0.015162545256316662,4,,,,,,
,3899,0.00991425383836031,4,,,,,,
,3949,0.00678693363443017,4,,,,,,
,3999,0.00815383717417717,4,,,,,,
,4049,0.007075175642967224,4,,,,,,
,4099,0.013118353672325611,4,,,,,,
,4149,0.007770704571157694,4,,,,,,
,4199,0.011775447987020016,4,,,,,,
,4249,0.00877693947404623,4,,,,,,
,4299,0.009307390078902245,4,,,,,,
,4329,,4,0.0159548781812191,0.12156658619642258,0.031063826754689217,0.034313734620809555,0.11340159177780151,
,4329,,4,,,,,,0.009611203335225582
0.8912509381337455,0,,,,,,,,
,49,0.28769707679748535,0,,,,,,
,99,0.2940092384815216,0,,,,,,
,149,0.2556130290031433,0,,,,,,
,199,0.28249260783195496,0,,,,,,
,249,0.2673577070236206,0,,,,,,
,299,0.3348928391933441,0,,,,,,
,349,0.23955698311328888,0,,,,,,
,399,0.2661948502063751,0,,,,,,
,449,0.2712232768535614,0,,,,,,
,499,0.2515978217124939,0,,,,,,
,549,0.289045125246048,0,,,,,,
,599,0.2596571147441864,0,,,,,,
,649,0.25917088985443115,0,,,,,,
,699,0.2834570109844208,0,,,,,,
,749,0.19027332961559296,0,,,,,,
,799,0.3035602867603302,0,,,,,,
,849,0.2497466802597046,0,,,,,,
,865,,0,0.2669701874256134,2.0,0.2669702172279358,0.2674930989742279,1.0,
,865,,0,,,,,,0.6102373003959656
0.8912509381337455,866,,,,,,,,
,899,0.273882120847702,1,,,,,,
,949,0.2501942813396454,1,,,,,,
,999,0.26765280961990356,1,,,,,,
,1049,0.2599377930164337,1,,,,,,
,1099,0.23828132450580597,1,,,,,,
,1149,0.2782546281814575,1,,,,,,
,1199,0.27576449513435364,1,,,,,,
,1249,0.2631365954875946,1,,,,,,
,1299,0.25930193066596985,1,,,,,,
,1349,0.2763473391532898,1,,,,,,
,1399,0.2715054154396057,1,,,,,,
,1449,0.24393866956233978,1,,,,,,
,1499,0.25640740990638733,1,,,,,,
,1549,0.2398819476366043,1,,,,,,
,1599,0.2705301344394684,1,,,,,,
,1649,0.2556144893169403,1,,,,,,
,1699,0.23963145911693573,1,,,,,,
,1731,,1,0.2669701874256134,2.0,0.2669702172279358,0.2674930989742279,1.0,
,1731,,1,,,,,,0.2622753381729126
0.8912509381337455,1732,,,,,,,,
,1749,0.27600863575935364,2,,,,,,
,1799,0.2601742446422577,2,,,,,,
,1849,0.2698633372783661,2,,,,,,
,1899,0.2886473834514618,2,,,,,,
,1949,0.24340535700321198,2,,,,,,
,1999,0.19740934669971466,2,,,,,,
,2049,0.2638487219810486,2,,,,,,
,2099,0.2541266083717346,2,,,,,,
,2149,0.28290438652038574,2,,,,,,
,2199,0.27242234349250793,2,,,,,,
,2249,0.29536816477775574,2,,,,,,
,2299,0.2844860255718231,2,,,,,,
,2349,0.23194879293441772,2,,,,,,
,2399,0.24321001768112183,2,,,,,,
,2449,0.2683986723423004,2,,,,,,
,2499,0.2632139027118683,2,,,,,,
,2549,0.258192777633667,2,,,,,,
,2597,,2,0.2669701874256134,2.0,0.2669702172279358,0.2674930989742279,1.0,
,2597,,2,,,,,,0.2622760832309723
0.8912509381337455,2598,,,,,,,,
,2599,0.2582915127277374,3,,,,,,
,2649,0.24181349575519562,3,,,,,,
,2699,0.2582100033760071,3,,,,,,
,2749,0.24106310307979584,3,,,,,,
,2799,0.2565279006958008,3,,,,,,
,2849,0.23447512090206146,3,,,,,,
,2899,0.23373208940029144,3,,,,,,
,2949,0.30633607506752014,3,,,,,,
,2999,0.23644216358661652,3,,,,,,
,3049,0.26330557465553284,3,,,,,,
,3099,0.24803996086120605,3,,,,,,
,3149,0.260764479637146,3,,,,,,
,3199,0.2957381308078766,3,,,,,,
,3249,0.29513174295425415,3,,,,,,
