lr-Adam,step,train_loss_step,epoch
3.548133892335755e-05,0,,
,49,0.2073415070772171,0
,99,0.1805185228586197,0
,149,0.13389158248901367,0
,199,0.10145894438028336,0
,249,0.09866958856582642,0
